Case ID;Activity;Creation Date;;Time Stamp
R500266000004142415765;Create TO High Rack;01/11/2013;10:00:00;01/11/2013 10:00
R500266000004142415765;Create TO Antar High Rack;03/12/2013;11:00:00;03/12/2013 11:00
R500266000004142415765;Create TO Picking Rack;08/12/2013;13:00:00;08/12/2013 13:00
R500266000004142415765;Good Issue;18/12/2013;16:00;18/12/2013 16:00
R500266000004142415765;Good Receipt;29/10/2013;08:00:00;29/10/2013 08:00
R500266000004142415764;Quality Inspection;31/10/2013;09:00;31/10/2013 09:00
R500266000004142415764;Create TO High Rack;01/11/2013;10:00:00;01/11/2013 10:00
R500266000004142415764;Create TO Antar High Rack;03/12/2013;11:00:00;03/12/2013 11:00
R500266000004142415764;Create TO Picking Rack;07/12/2013;13:00:00;07/12/2013 13:00
R500266000004142415764;Good Issue;18/12/2013;16:00;18/12/2013 16:00
R500266000004142415764;Good Receipt;29/10/2013;08:00:00;29/10/2013 08:00
R500266000004142415763;Quality Inspection;31/10/2013;09:00;31/10/2013 09:00
R500266000004142415763;Create TO High Rack;01/11/2013;10:00:00;01/11/2013 10:00
R500266000004142415763;Create TO Antar High Rack;03/12/2013;11:00:00;03/12/2013 11:00
R500266000004142415763;Create TO Picking Rack;06/12/2013;13:00:00;06/12/2013 13:00
R500266000004142415763;Good Issue;18/12/2013;16:00;18/12/2013 16:00
R500266000004142415763;Good Receipt;29/10/2013;08:00:00;29/10/2013 08:00
R500266000004142415762;Quality Inspection;31/10/2013;09:00;31/10/2013 09:00
R500266000004142415762;Create TO High Rack;01/11/2013;10:00:00;01/11/2013 10:00
R500266000004142415762;Create TO Antar High Rack;03/12/2013;11:00:00;03/12/2013 11:00
R500266000004142415762;Create TO Picking Rack;04/12/2013;13:00:00;04/12/2013 13:00
R500266000004142415762;Good Issue;17/12/2013;16:00;17/12/2013 16:00
R500266000004142415762;Good Receipt;29/10/2013;08:00:00;29/10/2013 08:00
R500266000004142415761;Quality Inspection;31/10/2013;09:00;31/10/2013 09:00
R500266000004142415761;Create TO High Rack;01/11/2013;10:00:00;01/11/2013 10:00
R500266000004142415761;Create TO Picking Rack;03/12/2013;13:00:00;03/12/2013 13:00
R500266000004142415761;Good Issue;17/12/2013;16:00;17/12/2013 16:00
R500266000004142415761;Good Receipt;29/10/2013;08:00:00;29/10/2013 08:00
R5002660000037384154012;Quality Inspection;24/09/2013;09:00;24/09/2013 09:00
R5002660000037384154012;Create TO Lantai;11/12/2013;09:30:00;11/12/2013 09:30
R5002660000037384154012;Create TO High Rack;11/12/2013;10:00:00;11/12/2013 10:00
R5002660000037384154012;Good Issue;26/12/2013;16:00;26/12/2013 16:00
R5002660000037384154012;Good Receipt;23/09/2013;08:00:00;23/09/2013 08:00
R500266000003940415401;Quality Inspection;24/09/2013;09:00:00;24/09/2013 09:00
R500266000003940415402;Quality Inspection;24/09/2013;09:00:00;24/09/2013 09:00
R500266000003940415403;Quality Inspection;24/09/2013;09:00:00;24/09/2013 09:00
R500266000003940415404;Quality Inspection;24/09/2013;09:00:00;24/09/2013 09:00
R500266000003940415405;Quality Inspection;24/09/2013;09:00:00;24/09/2013 09:00
R500266000003940415406;Quality Inspection;24/09/2013;09:00:00;24/09/2013 09:00
R500266000003940415401;Create TO High Rack;24/09/2013;10:00:00;24/09/2013 10:00
R500266000003940415402;Create TO High Rack;24/09/2013;10:00:00;24/09/2013 10:00
R500266000003940415403;Create TO High Rack;24/09/2013;10:00:00;24/09/2013 10:00
R500266000003940415404;Create TO High Rack;24/09/2013;10:00:00;24/09/2013 10:00
R500266000003940415405;Create TO High Rack;24/09/2013;10:00:00;24/09/2013 10:00
R500266000003940415406;Create TO High Rack;24/09/2013;10:00:00;24/09/2013 10:00
R500266000003940415401;Block Stock;28/09/2013;11:00:00;28/09/2013 11:00
R500266000003940415402;Block Stock;28/09/2013;11:00:00;28/09/2013 11:00
R500266000003940415403;Block Stock;28/09/2013;11:00:00;28/09/2013 11:00
R500266000003940415404;Block Stock;28/09/2013;11:00:00;28/09/2013 11:00
R500266000003940415405;Block Stock;28/09/2013;11:00:00;28/09/2013 11:00
R500266000003940415406;Block Stock;28/09/2013;11:00:00;28/09/2013 11:00
R500266000003940415401;Good Receipt;23/09/2013;08:00:00;23/09/2013 08:00
R500266000003940415402;Good Receipt;23/09/2013;08:00:00;23/09/2013 08:00
R500266000003940415403;Good Receipt;23/09/2013;08:00:00;23/09/2013 08:00
R500266000003940415404;Good Receipt;23/09/2013;08:00:00;23/09/2013 08:00
R500266000003940415405;Good Receipt;23/09/2013;08:00:00;23/09/2013 08:00
R500266000003940415406;Good Receipt;23/09/2013;08:00:00;23/09/2013 08:00
R500266000003536416221;Block Stock;16/12/2013;11:00:00;16/12/2013 11:00
R500266000003536416222;Block Stock;16/12/2013;11:00:00;16/12/2013 11:00
R500266000003536416223;Block Stock;16/12/2013;11:00:00;16/12/2013 11:00
R500266000003536416224;Block Stock;16/12/2013;11:00:00;16/12/2013 11:00
R500266000003536416221;Good Receipt;14/12/2013;08:00:00;14/12/2013 08:00
R500266000003536416222;Good Receipt;14/12/2013;08:00:00;14/12/2013 08:00
R500266000003536416223;Good Receipt;14/12/2013;08:00:00;14/12/2013 08:00
R500266000003536416224;Good Receipt;14/12/2013;08:00:00;14/12/2013 08:00
R500266000003536416221;Quality Inspection;16/12/2013;09:00:00;16/12/2013 09:00
R500266000003536416222;Quality Inspection;16/12/2013;09:00:00;16/12/2013 09:00
R500266000003536416223;Quality Inspection;16/12/2013;09:00:00;16/12/2013 09:00
R500266000003536416224;Quality Inspection;16/12/2013;09:00:00;16/12/2013 09:00
R500266000003940416221;Block Stock;16/12/2013;11:00:00;16/12/2013 11:00
R500266000003940416222;Block Stock;16/12/2013;11:00:00;16/12/2013 11:00
R500266000003940416223;Block Stock;16/12/2013;11:00:00;16/12/2013 11:00
R500266000003940416224;Block Stock;16/12/2013;11:00:00;16/12/2013 11:00
R500266000003940416225;Block Stock;16/12/2013;11:00:00;16/12/2013 11:00
R500266000003940416226;Block Stock;16/12/2013;11:00:00;16/12/2013 11:00
R500266000003940416227;Block Stock;16/12/2013;11:00:00;16/12/2013 11:00
R500266000003940416228;Block Stock;16/12/2013;11:00:00;16/12/2013 11:00
R500266000003940416229;Block Stock;16/12/2013;11:00:00;16/12/2013 11:00
R5002660000039404162210;Block Stock;16/12/2013;11:00:00;16/12/2013 11:00
R5002660000039404162211;Block Stock;16/12/2013;11:00:00;16/12/2013 11:00
R5002660000039404162212;Block Stock;16/12/2013;11:00:00;16/12/2013 11:00
R5002660000039404162213;Block Stock;16/12/2013;11:00:00;16/12/2013 11:00
R5002660000039404162214;Block Stock;16/12/2013;11:00:00;16/12/2013 11:00
R5002660000039404162215;Block Stock;16/12/2013;11:00:00;16/12/2013 11:00
R5002660000039404162216;Block Stock;16/12/2013;11:00:00;16/12/2013 11:00
R5002660000039404162217;Block Stock;16/12/2013;11:00:00;16/12/2013 11:00
R5002660000039404162218;Block Stock;16/12/2013;11:00:00;16/12/2013 11:00
R5002660000039404162219;Block Stock;16/12/2013;11:00:00;16/12/2013 11:00
R5002660000039404162220;Block Stock;16/12/2013;11:00:00;16/12/2013 11:00
R5002660000039404162221;Block Stock;16/12/2013;11:00:00;16/12/2013 11:00
R5002660000039404162222;Block Stock;16/12/2013;11:00:00;16/12/2013 11:00
R5002660000039404162223;Block Stock;16/12/2013;11:00:00;16/12/2013 11:00
R5002660000039404162224;Block Stock;16/12/2013;11:00:00;16/12/2013 11:00
R500266000003940416221;Good Receipt;14/12/2013;08:00:00;14/12/2013 08:00
R500266000003940416222;Good Receipt;14/12/2013;08:00:00;14/12/2013 08:00
R500266000003940416223;Good Receipt;14/12/2013;08:00:00;14/12/2013 08:00
R500266000003940416224;Good Receipt;14/12/2013;08:00:00;14/12/2013 08:00
R500266000003940416225;Good Receipt;14/12/2013;08:00:00;14/12/2013 08:00
R500266000003940416226;Good Receipt;14/12/2013;08:00:00;14/12/2013 08:00
R500266000003940416227;Good Receipt;14/12/2013;08:00:00;14/12/2013 08:00
R500266000003940416228;Good Receipt;14/12/2013;08:00:00;14/12/2013 08:00
R500266000003940416229;Good Receipt;14/12/2013;08:00:00;14/12/2013 08:00
R5002660000039404162210;Good Receipt;14/12/2013;08:00:00;14/12/2013 08:00
R5002660000039404162211;Good Receipt;14/12/2013;08:00:00;14/12/2013 08:00
R5002660000039404162212;Good Receipt;14/12/2013;08:00:00;14/12/2013 08:00
